"FIPS_Code","State","Area_name","Rural_Urban_Code2003","Urban_Influence_Code2003","Rural_Urban_Code2013","Urban_Influence_Code2013","Less_than_HS_Diploma1970","HS_Diploma_Only1970","Some_College1970","Four_Yrs_College1970","Less_than_HS_Diploma1980","HS_Diploma_Only1980","Some_College1980","Four_Yrs_College1980","Less_than_HS_Diploma1990","HS_Diploma_Only1990","Some_College1990","Bachelors1990","Less_than_HS_Diploma2000","HS_Diploma_Only2000","Some_College2000","Bachelors2000","Less_than_HS_Diploma2009_13","HS_Diploma_Only2009_13","Some_College2009_13","Bachelors2009_13"
"1001","AL","Autauga County","2","2","2","2","6611","3757","933","767","7074","6145","2104","2117","6252","6671","4912","3026","5872","9332","7413","4972","5143","12211","10870","7472"
"1003","AL","Baldwin County","4","5","3","2","18726","8426","2334","2038","18125","15380","6602","5498","17309","20544","15900","10870","17258","28428","28178","22146","14209","37927","41840","36087"
"1005","AL","Barbour County","6","6","6","6","8120","2242","581","861","7759","3671","1362","1300","6965","4258","2622","1857","6679","6124","4025","2068","5002","6245","5196","2545"
"1007","AL","Bibb County","1","1","1","1","5272","1402","238","302","5254","2611","536","433","4850","3407","1332","476","4984","4838","2756","962","3459","6256","3774","1851"
"1009","AL","Blount County","1","1","1","1","10677","3440","626","404","11666","7011","1819","1144","9960","8763","4745","1773","9960","12136","8371","3235","8937","13463","11749","4697"
"1011","AL","Bullock County","6","6","6","6","4245","958","305","314","3473","1324","574","516","3428","1669","954","676","2992","2667","1325","586","2421","2548","1603","938"
"1013","AL","Butler County","6","6","6","6","8353","2459","499","541","6929","3635","1016","1029","6374","3927","2106","1083","4439","4749","3146","1433","3337","5212","3560","1971"
"1015","AL","Calhoun County","3","2","3","2","30535","13804","3823","3921","28268","21411","8449","7213","23633","21711","16835","10266","19318","23856","19576","11265","16800","25866","23253","12626"
"1017","AL","Chambers County","6","5","6","5","13616","4816","927","847","12616","6544","2238","1710","10833","6749","3998","2101","8778","7863","5517","2339","5905","8525","6522","2804"
"1019","AL","Cherokee County","8","6","6","6","6126","1878","440","329","6372","3158","985","712","6030","4092","1966","866","6138","5865","3186","1636","4068","6508","5789","2412"
"1021","AL","Chilton County","1","1","1","1","10285","2805","538","415","9678","5578","1518","1158","9023","6770","3438","1550","8757","9264","5307","2574","7047","11751","6718","3786"
"1023","AL","Choctaw County","9","10","9","10","5720","1922","378","362","5095","2695","777","640","4482","3070","1418","836","3704","3670","2182","1013","2381","3580","2510","1132"
"1025","AL","Clarke County","7","11","7","11","8459","3485","800","738","7627","4596","1510","1344","6471","5445","2614","1755","5165","6667","3733","2137","3746","7249","4317","1927"
"1027","AL","Clay County","9","10","9","10","4784","1719","345","311","4301","2583","690","479","3999","2692","1340","628","3322","3690","1992","763","2262","3621","2861","887"
"1029","AL","Cleburne County","8","4","8","4","4431","1198","272","162","4578","2031","385","431","4068","2394","1110","529","3536","3417","1701","879","2448","4013","2832","922"
"1031","AL","Coffee County","6","5","4","5","10790","4861","1332","1040","9836","6696","3378","2766","8522","6824","6354","4274","7755","7571","7985","5574","6002","10041","10311","7663"
"1033","AL","Colbert County","3","2","3","2","15050","7986","2151","1554","14231","11210","3756","3034","11952","11110","7293","3956","9972","12665","9474","5273","6269","13099","11819","6706"
"1035","AL","Conecuh County","9","11","7","11","5889","1709","332","342","5197","2569","714","556","4242","2927","1219","574","2984","3518","1877","851","2035","3905","2233","786"
"1037","AL","Coosa County","8","7","8","3","3983","1260","269","196","3780","2100","529","237","3315","2403","1010","456","2831","3164","1597","663","2031","3472","1836","797"
"1039","AL","Covington County","7","9","6","6","13470","4333","1014","918","12771","6401","2108","1636","10288","6962","4642","2198","8115","8473","5975","3142","5689","9007","7869","3727"
"1041","AL","Crenshaw County","8","6","8","6","5595","1295","385","296","5285","2062","549","576","4286","2444","1327","740","3700","2689","1840","1039","2219","3619","2491","1207"
"1043","AL","Cullman County","6","3","4","3","20137","6244","1405","1113","19635","11353","3122","2671","18093","13529","8882","3405","15322","16584","13719","6162","11166","17467","18382","8136"
"1045","AL","Dale County","4","5","4","5","9412","7274","2511","1895","8736","8575","4681","2898","7536","8199","9575","3948","6976","9159","10857","4398","5254","10189","12062","5622"
