"FIPS_Code","State","Area_name","Rural_urban_continuum_code_2003","Urban_influence_code_2003","Rural_urban_continuum_code_2013","Urban_influence_code_2013","Civilian_labor_force_2006","Employed_2006","Unemployed_2006","Civilian_labor_force_2007","Employed_2007","Unemployed_2007","Civilian_labor_force_2008","Employed_2008","Unemployed_2008","Civilian_labor_force_2009","Employed_2009","Unemployed_2009","Civilian_labor_force_2010","Employed_2010","Unemployed_2010","Civilian_labor_force_2011","Employed_2011","Unemployed_2011","Civilian_labor_force_2012","Employed_2012","Unemployed_2012","Civilian_labor_force_2013","Employed_2013","Unemployed_2013","Unemployment_rate_2013","Civilian_labor_force_2014","Employed_2014","Unemployed_2014","Median_Household_Income_2013"
"1000","AL","Alabama",,,,,"2167809","2080233","87576","2175612","2089127","86485","2176489","2053477","123012","2162999","1924747","238252","2196042","1964559","231483","2201473","1988753","212720","2175942","2002638","173304","2168594","2011596","156998","7.2","2150118","2003910","146208","42882"
"1001","AL","Autauga County, AL","2","2","2","2","24398","23585","813","24383","23577","806","24687","23420","1267","24703","22301","2402","25713","23431","2282","25812","23657","2155","25743","23953","1790","25759","24138","1621","6.3","25429","23933","1496","51868"
"1003","AL","Baldwin County, AL","4","5","3","2","79711","77147","2564","82659","80099","2560","83223","79372","3851","82451","74403","8048","83459","75120","8339","84961","77353","7608","84407","78040","6367","85093","79414","5679","6.7","85815","80620","5195","47539"
"1005","AL","Barbour County, AL","6","6","6","6","10705","10096","609","10334","9684","650","10161","9267","894","10003","8572","1431","10221","8959","1262","9851","8704","1147","9370","8280","1090","9087","8146","941","10.4","8798","7847","951","30981"
"1007","AL","Bibb County, AL","1","1","1","1","8850","8477","373","8791","8432","359","8749","8241","508","8742","7581","1161","8934","7914","1020","8928","7989","939","8791","8044","747","8675","7995","680","7.8","8560","7949","611","39781"
"1009","AL","Blount County, AL","1","1","1","1","26770","25902","868","26629","25780","849","26698","25453","1245","26480","23832","2648","24906","22460","2446","25104","22920","2184","24961","23236","1725","24839","23263","1576","6.3","24614","23101","1513","44392"
"1011","AL","Bullock County, AL","6","6","6","6","3702","3372","330","3653","3308","345","3634","3251","383","3739","3156","583","4941","4356","585","4837","4268","569","4745","4243","502","4780","4319","461","9.6","4679","4254","425","25937"
"1013","AL","Butler County, AL","6","6","6","6","9238","8709","529","9099","8539","560","9051","8278","773","9104","7615","1489","9261","7998","1263","9188","8036","1152","9091","8036","1055","9134","8183","951","10.4","9253","8460","793","31041"
"1015","AL","Calhoun County, AL","3","2","3","2","54063","51872","2191","54861","52709","2152","54564","51468","3096","53925","47929","5996","51559","45699","5860","51230","45925","5305","49590","45237","4353","48189","44043","4146","8.6","46924","43208","3716","37898"
"1017","AL","Chambers County, AL","6","5","6","5","15749","14828","921","15474","14469","1005","15012","12848","2164","14650","11777","2873","14754","12554","2200","15200","13368","1832","15143","13642","1501","15235","14020","1215","8","15190","14165","1025","33883"
"1019","AL","Cherokee County, AL","8","6","6","6","11854","11352","502","11984","11484","500","11996","11308","688","11758","10384","1374","11464","10245","1219","11465","10355","1110","11257","10360","897","11371","10621","750","6.6","11299","10638","661","37478"
"1021","AL","Chilton County, AL","1","1","1","1","19771","19059","712","19737","19067","670","19610","18618","992","19445","17375","2070","19462","17464","1998","19521","17738","1783","19373","17976","1397","19318","18041","1277","6.6","19121","17920","1201","41348"
"1023","AL","Choctaw County, AL","9","10","9","10","5329","5030","299","5183","4875","308","5069","4646","423","5134","4442","692","4860","4216","644","4765","4135","630","4792","4296","496","4691","4258","433","9.2","4479","4073","406","33581"
"1025","AL","Clarke County, AL","7","11","7","11","10261","9622","639","10358","9730","628","10351","9419","932","10381","8664","1717","9108","7300","1808","8853","7175","1678","8388","7113","1275","8283","7126","1157","14","8101","7091","1010","34593"
"1027","AL","Clay County, AL","9","10","9","10","6182","5902","280","6113","5775","338","5733","5279","454","5643","4703","940","5851","5005","846","5600","4931","669","5417","4904","513","5384","4930","454","8.4","5446","5053","393","33344"
"1029","AL","Cleburne County, AL","8","4","8","4","6639","6406","233","6483","6246","237","6557","6225","332","6514","5851","663","6033","5429","604","5935","5361","574","5834","5356","478","5815","5369","446","7.7","5764","5377","387","40407"
"1031","AL","Coffee County, AL","6","5","4","5","20691","19917","774","21077","20275","802","20911","19897","1014","21436","19612","1824","21088","19271","1817","20738","19043","1695","20610","19152","1458","20478","19053","1425","7","20213","18862","1351","44666"
"1033","AL","Colbert County, AL","3","2","3","2","25307","24128","1179","25386","24216","1170","25160","23523","1637","25414","22461","2953","24228","21453","2775","24374","21887","2487","23998","21915","2083","23798","21878","1920","8.1","24016","22045","1971","40032"
"1035","AL","Conecuh County, AL","9","11","7","11","5123","4833","290","4965","4646","319","4878","4421","457","4908","3930","978","4991","4131","860","4788","4053","735","4641","4081","560","4691","4180","511","10.9","4629","4132","497","27196"
"1037","AL","Coosa County, AL","8","7","8","3","4794","4525","269","4686","4415","271","4659","4274","385","4593","3856","737","4654","3937","717","4477","3915","562","4443","4028","415","4433","4033","400","9","4400","4011","389","35175"
"1039","AL","Covington County, AL","7","9","6","6","17195","16529","666","17070","16409","661","16800","15803","997","16719","14912","1807","16417","14721","1696","16352","14752","1600","16336","14973","1363","16019","14728","1291","8.1","15771","14547","1224","35187"
"1041","AL","Crenshaw County, AL","8","6","8","6","6595","6332","263","6546","6264","282","6464","6105","359","6439","5768","671","6285","5646","639","6426","5794","632","6245","5731","514","6287","5813","474","7.5","6244","5810","434","34105"
"1043","AL","Cullman County, AL","6","3","4","3","39375","38026","1349","39367","38047","1320","39096","37188","1908","38537","34585","3952","35959","32202","3757","35619","32252","3367","35539","32825","2714","35684","33313","2371","6.6","35477","33314","2163","40142"
"1045","AL","Dale County, AL","4","5","4","5","20480","19522","958","20250","19450","800","19832","18760","1072","20033","18100","1933","22072","20124","1948","22015","20171","1844","21381","19775","1606","20720","19168","1552","7.5","20397","18938","1459","41805"
"1047","AL","Dallas County, AL","4","5","4","5","15903","14594","1309","15555","14259","1296","15473","13758","1715","15868","12516","3352","17808","14806","3002","17528","14854","2674","16769","14578","2191","16284","14262","2022","12.4","15747","13926","1821","27524"
"1049","AL","DeKalb County, AL","6","6","6","6","31493","30176","1317","31013","29689","1324","30682","28895","1787","29912","25647","4265","30942","27026","3916","29817","26257","3560","28834","26215","2619","28955","26752","2203","7.6","28655","26666","1989","36713"
"1051","AL","Elmore County, AL","2","2","2","2","35169","33968","1201","35805","34620","1185","36220","34371","1849","36392","32944","3448","36683","33362","3321","36580","33493","3087","36631","34075","2556","36856","34561","2295","6.2","36381","34281","2100","51650"
"1053","AL","Escambia County, AL","6","6","6","6","14348","13634","714","14288","13530","758","14412","13321","1091","14762","12770","1992","15007","13238","1769","14980","13343","1637","14738","13370","1368","14258","13029","1229","8.6","14194","13027","1167","33455"
"1055","AL","Etowah County, AL","3","2","3","2","46521","44546","1975","45459","43431","2028","45727","42995","2732","44993","39838","5155","44000","39193","4807","44685","40205","4480","44192","40576","3616","43728","40429","3299","7.5","43578","40515","3063","38587"
"1057","AL","Fayette County, AL","6","6","6","6","7743","7414","329","7387","7039","348","7118","6604","514","6971","5993","978","6831","5942","889","6633","5892","741","6503","5941","562","6387","5859","528","8.3","6281","5785","496","35661"
"1059","AL","Franklin County, AL","6","6","6","6","13939","13291","648","13742","13108","634","13380","12387","993","13240","11463","1777","14255","12724","1531","14357","12975","1382","13982","12802","1180","13651","12545","1106","8.1","13641","12578","1063","33332"
"1061","AL","Geneva County, AL","3","2","3","2","11699","11257","442","11535","11137","398","11337","10717","620","11173","9970","1203","11559","10362","1197","11472","10421","1051","11270","10417","853","11020","10249","771","7","10783","10056","727","35378"
"1063","AL","Greene County, AL","3","2","8","6","3392","3201","191","3284","3075","209","3280","3001","279","3131","2653","478","3306","2735","571","3229","2666","563","3129","2700","429","2996","2607","389","13","3000","2621","379","25864"
"1065","AL","Hale County, AL","3","2","3","2","7170","6792","378","6976","6602","374","6991","6473","518","6869","5890","979","6445","5473","972","6298","5421","877","6218","5497","721","6198","5472","726","11.7","6142","5540","602","33597"
"1067","AL","Henry County, AL","3","2","3","2","7506","7204","302","7540","7135","405","7376","6807","569","7132","6334","798","7259","6469","790","7262","6558","704","7022","6444","578","6935","6403","532","7.7","6799","6293","506","41590"
"1069","AL","Houston County, AL","3","2","3","2","46701","45099","1602","47179","45607","1572","46452","44180","2272","45903","41638","4265","46414","42170","4244","46761","42711","4050","46070","42564","3506","45624","42438","3186","7","44834","41781","3053","39636"
"1071","AL","Jackson County, AL","6","5","6","5","27066","25852","1214","27020","25799","1221","26857","25201","1656","26370","23005","3365","24348","21468","2880","24147","21664","2483","23697","21688","2009","23588","21762","1826","7.7","23306","21626","1680","37204"
"1073","AL","Jefferson County, AL","1","1","1","1","316750","304027","12723","314739","302603","12136","311615","294792","16823","307018","274011","33007","318520","285627","32893","319339","289675","29664","316338","292925","23413","314709","293633","21076","6.7","311833","292161","19672","45024"
"1075","AL","Lamar County, AL","9","10","8","7","6043","5727","316","5854","5488","366","5692","5237","455","5546","4658","888","5802","5035","767","5827","5256","571","5808","5368","440","5790","5379","411","7.1","5547","5151","396","36475"
"1077","AL","Lauderdale County, AL","3","2","3","2","42593","40795","1798","43257","41389","1868","42873","40408","2465","43432","38804","4628","43596","39193","4403","44001","39992","4009","43400","40071","3329","43048","39975","3073","7.1","43367","40253","3114","43586"
"1079","AL","Lawrence County, AL","3","2","3","2","15644","14889","755","15807","15160","647","15867","14837","1030","15788","13635","2153","14901","13024","1877","14787","13166","1621","14390","13090","1300","14234","13058","1176","8.3","13988","12835","1153","40713"
"1081","AL","Lee County, AL","3","2","3","2","64828","62616","2212","65326","62949","2377","65189","61795","3394","64893","58787","6106","66764","60758","6006","68294","62760","5534","68951","64226","4725","70396","66201","4195","6","70960","66991","3969","44647"
"1083","AL","Limestone County, AL","2","2","2","2","35764","34458","1306","36340","35123","1217","37427","35664","1763","38288","34543","3745","38321","34625","3696","38954","35601","3353","38988","36299","2689","39358","36869","2489","6.3","39016","36635","2381","50148"
"1085","AL","Lowndes County, AL","2","2","2","2","4814","4448","366","4758","4400","358","4851","4322","529","4921","3970","951","4350","3547","803","4243","3486","757","4088","3451","637","4008","3434","574","14.3","3906","3402","504","29734"
"1087","AL","Macon County, AL","6","5","6","6","8836","8368","468","8865","8385","480","9104","8426","678","9345","8203","1142","8937","7618","1319","8516","7311","1205","8292","7395","897","8397","7583","814","9.7","8211","7461","750","29228"
"1089","AL","Madison County, AL","2","2","2","2","161332","156018","5314","165286","160218","5068","168340","161326","7014","168887","155310","13577","169833","155656","14177","171630","157381","14249","170270","158348","11922","171050","160117","10933","6.4","169656","159203","10453","58258"
"1091","AL","Marengo County, AL","7","11","7","11","8592","8193","399","8150","7718","432","7979","7389","590","8101","6950","1151","8136","7021","1115","7874","6878","996","7653","6871","782","7612","6936","676","8.9","7597","6986","611","33749"
"1093","AL","Marion County, AL","8","4","7","11","13504","12913","591","12974","12297","677","12715","11701","1014","12361","10311","2050","13215","11423","1792","12559","11140","1419","12456","11336","1120","12463","11468","995","8","12160","11181","979","34162"
"1095","AL","Marshall County, AL","4","5","4","5","41986","40527","1459","41311","39890","1421","41700","39720","1980","40743","36604","4139","41637","37640","3997","41043","37185","3858","40668","37511","3157","40506","37739","2767","6.8","39588","36936","2652","38399"
"1097","AL","Mobile County, AL","2","2","2","2","182019","174428","7591","184490","177096","7394","187266","176623","10643","186825","165725","21100","192730","170943","21787","193773","172827","20946","188502","171256","17246","186300","170627","15673","8.4","184133","169947","14186","42278"
"1099","AL","Monroe County, AL","7","11","7","11","9323","8759","564","8945","8369","576","8789","7896","893","8666","6978","1688","8712","7131","1581","8331","7011","1320","7982","6969","1013","7761","6825","936","12.1","7530","6679","851","32696"
"1101","AL","Montgomery County, AL","2","2","2","2","105711","101297","4414","106156","101798","4358","106155","99875","6280","105106","94078","11028","108753","97892","10861","109029","98409","10620","107264","98634","8630","106040","98339","7701","7.3","104838","97592","7246","44013"
"1103","AL","Morgan County, AL","3","2","3","2","55887","53635","2252","56642","54654","1988","56997","54014","2983","56388","50294","6094","57817","51600","6217","58262","52766","5496","57377","52913","4464","56849","52947","3902","6.9","55799","52105","3694","44079"
"1105","AL","Perry County, AL","8","6","8","4","3586","3284","302","3543","3244","299","3592","3186","406","3770","3021","749","3891","3236","655","3870","3225","645","3689","3191","498","3564","3075","489","13.7","3454","3024","430","25461"
"1107","AL","Pickens County, AL","8","6","3","2","8113","7703","410","8015","7613","402","7925","7359","566","8042","6942","1100","7699","6687","1012","7571","6657","914","7466","6707","759","7395","6709","686","9.3","7429","6818","611","32314"
"1109","AL","Pike County, AL","6","5","6","5","15166","14557","609","15575","14947","628","15805","15034","771","15803","14300","1503","15677","14198","1479","15431","14058","1373","15017","13814","1203","14891","13747","1144","7.7","14839","13757","1082","35944"
"1111","AL","Randolph County, AL","6","4","6","4","9758","9237","521","9487","9005","482","9609","8905","704","9415","8014","1401","9706","8410","1296","9449","8367","1082","9146","8301","845","9190","8475","715","7.8","9166","8537","629","35121"
"1113","AL","Russell County, AL","2","2","2","2","21467","20204","1263","21734","20414","1320","21693","19959","1734","21566","18903","2663","23814","21225","2589","24599","22059","2540","24915","22718","2197","24980","23146","1834","7.3","24634","23001","1633","35762"
"1115","AL","St. Clair County, AL","1","1","1","1","35053","33819","1234","36040","34813","1227","36482","34651","1831","36770","32765","4005","38280","34397","3883","38468","35106","3362","38510","35859","2651","38756","36356","2400","6.2","38380","36153","2227","52437"
"1117","AL","Shelby County, AL","1","1","1","1","98394","95698","2696","99647","97043","2604","101156","97375","3781","99773","92015","7758","102372","95110","7262","104181","97646","6535","105485","100125","5360","106798","101779","5019","4.7","106051","101254","4797","68718"
"1119","AL","Sumter County, AL","8","6","8","6","4791","4465","326","4778","4466","312","4721","4308","413","4761","4051","710","5777","5006","771","5563","4825","738","5423","4847","576","5458","4956","502","9.2","5321","4850","471","24504"
"1121","AL","Talladega County, AL","4","5","4","3","39456","37413","2043","38922","36898","2024","38278","35519","2759","37787","32348","5439","35129","30389","4740","35289","31166","4123","34993","31720","3273","35616","32612","3004","8.4","34916","32234","2682","38505"
"1123","AL","Tallapoosa County, AL","6","6","6","6","18536","17595","941","18311","17340","971","18179","16875","1304","18149","15687","2462","19079","16579","2500","18361","16252","2109","18438","16844","1594","18349","16863","1486","8.1","18136","16748","1388","37747"
"1125","AL","Tuscaloosa County, AL","3","2","3","2","87495","84619","2876","89008","86080","2928","89185","84978","4207","89100","80043","9057","93915","85273","8642","95444","87459","7985","95372","88654","6718","95515","89361","6154","6.4","96911","91140","5771","45959"
"1127","AL","Walker County, AL","1","1","1","1","29877","28516","1361","29056","27800","1256","28758","27113","1645","28190","24910","3280","27279","23815","3464","27085","24014","3071","26524","24128","2396","26214","24072","2142","8.2","25912","23924","1988","37193"
"1129","AL","Washington County, AL","8","7","8","7","6901","6501","400","7002","6586","416","6883","6302","581","6935","5889","1046","7385","6335","1050","7111","6065","1046","6883","6052","831","6708","5969","739","11","6556","5908","648","41115"
